,close,date,high,low,open,volume
0,128.84,1991-01-02 00:00:00,128.84,127.61,127.61,9100.0
1,130.14,1991-01-03 00:00:00,130.14,128.84,128.84,14100.0
2,131.44,1991-01-04 00:00:00,131.44,130.14,131.27,42000.0
3,132.06,1991-01-07 00:00:00,132.06,131.45,131.99,21700.0
4,132.68,1991-01-08 00:00:00,132.68,132.06,132.62,292600.0
5,133.34,1991-01-09 00:00:00,133.34,132.68,133.3,560300.0
6,133.97,1991-01-10 00:00:00,133.97,133.34,133.93,999000.0
7,134.6,1991-01-11 00:00:00,134.61,134.51,134.61,1332700.0
8,134.67,1991-01-14 00:00:00,135.19,134.11,134.11,1253000.0
9,134.74,1991-01-15 00:00:00,134.74,134.19,134.21,144600.0
10,134.24,1991-01-16 00:00:00,134.74,134.14,134.19,50900.0
11,134.25,1991-01-17 00:00:00,134.25,133.65,133.67,65800.0
12,134.24,1991-01-18 00:00:00,134.25,133.67,133.7,300400.0
13,134.24,1991-01-21 00:00:00,134.24,133.66,133.7,205100.0
14,133.72,1991-01-22 00:00:00,134.24,133.66,133.72,35400.0
15,133.17,1991-01-23 00:00:00,133.72,133.14,133.17,109500.0
16,132.61,1991-01-24 00:00:00,133.17,132.57,132.61,185700.0
17,132.05,1991-01-25 00:00:00,132.07,132.03,132.05,344700.0
18,131.46,1991-01-28 00:00:00,131.55,131.46,131.46,510700.0
19,130.95,1991-01-29 00:00:00,130.97,130.95,130.95,138700.0
20,130.44,1991-01-30 00:00:00,130.95,130.41,130.44,52700.0
21,129.97,1991-01-31 00:00:00,130.46,129.93,129.93,51000.0
22,129.51,1991-02-01 00:00:00,129.97,129.45,129.5,34500.0
23,129.05,1991-02-04 00:00:00,129.58,129.05,129.05,55300.0
24,128.58,1991-02-05 00:00:00,128.58,128.53,128.56,856200.0
25,129.14,1991-02-06 00:00:00,129.15,128.06,129.13,664100.0
26,129.79,1991-02-07 00:00:00,129.79,129.14,129.74,213300.0
27,130.38,1991-02-08 00:00:00,130.39,129.79,130.36,123400.0
28,130.97,1991-02-11 00:00:00,130.97,130.39,130.92,931700.0
29,131.35,1991-02-12 00:00:00,131.56,130.97,131.54,377400.0
30,131.92,1991-02-13 00:00:00,131.93,131.35,131.93,115200.0
31,132.53,1991-02-14 00:00:00,132.53,132.3,132.53,362400.0
32,133.13,1991-02-19 00:00:00,133.14,133.08,133.12,174800.0
33,133.67,1991-02-20 00:00:00,133.67,133.13,133.63,87600.0
34,134.28,1991-02-21 00:00:00,134.28,133.67,134.24,322000.0
35,134.87,1991-02-22 00:00:00,134.87,134.28,134.85,342700.0
36,134.4,1991-02-25 00:00:00,134.87,134.33,134.37,81000.0
37,133.93,1991-02-26 00:00:00,134.44,133.9,133.9,109400.0
38,133.47,1991-02-27 00:00:00,133.98,133.44,133.44,21400.0
